Phone Name,Price
Samsung Galaxy A21s 4GB/64GB,16999 Tk
Samsung Galaxy M21 6GB/128GB,19999 Tk
Samsung Galaxy A20,15990 Tk
Samsung Galaxy M11,13999 Tk
Samsung Galaxy M31 8GB/128GB,25999 Tk
Samsung Galaxy A10,11990 Tk
Samsung Galaxy A51,27499 Tk
Samsung Galaxy A01,8999 Tk
Samsung Galaxy A50s,27599 Tk
Samsung Galaxy M40,21490 Tk
Samsung Galaxy A30s,18999 Tk
Samsung Galaxy J7,14990 Tk
Samsung Galaxy A71,34999 Tk
Samsung Galaxy Note 20 Ultra 5G,134999 Tk
Samsung Galaxy M01 Core 2GB/32GB,7299 Tk
Samsung Galaxy S20 Ultra,129999 Tk
Samsung Galaxy S8,69900 Tk
Samsung Galaxy S7 edge,64900 Tk
Samsung Galaxy Note8,89900 Tk
Samsung Galaxy M10,10999 Tk
Samsung Galaxy S6 edge,79900 Tk
Samsung Galaxy A20s 4GB/64GB,16999 Tk
Samsung Galaxy A50,26990 Tk
 Samsung Galaxy J2,7990 Tk
Samsung Galaxy M20,14900 Tk
Samsung Galaxy S20 FE 8GB/128GB,64999 Tk
Samsung Galaxy M31,21999 Tk
Samsung Galaxy A31 6GB/128GB,23999 Tk
Samsung Galaxy M01,10999 Tk
Samsung Galaxy Grand Prime,13490 Tk
Samsung Galaxy J7 Pro,16900 Tk
Samsung Galaxy S8+,79900 Tk
Samsung Galaxy J5,13990 Tk
Samsung Galaxy A2 Core,6990 Tk
Samsung Guru Music 2,1990 Tk
Samsung Galaxy Note10 Lite,44999 Tk
Samsung Galaxy M21 4GB/64GB,17999 Tk
Samsung Galaxy Core Prime,10990 Tk
 Samsung metro 313,2590 Tk
Samsung Galaxy A10s 2GB/32GB,12499 Tk
Samsung Galaxy J7 Prime (32GB),21900 Tk
Samsung metro 350,3350 Tk
Samsung Galaxy A70 6GB/128GB,38990 Tk
Samsung Galaxy S6,44900 Tk
Samsung Galaxy S5,60000 Tk
Samsung Galaxy J6 (2018) 3GB/32GB,14990 Tk
Samsung Galaxy S10+,99900 Tk
Samsung I9500 Galaxy S4,38000 Tk
Samsung Galaxy J1 Ace,7990 Tk
Samsung Galaxy Note II,47000 Tk
Samsung Galaxy Grand Neo,18900 Tk
Samsung Galaxy Note 4,49900 Tk
 Samsung Galaxy J7 Max,17990 Tk
 Samsung Galaxy J8,19990 Tk
Samsung Galaxy Note 10+,113900 Tk
Galaxy Tab A (2019),18490 Tk
Samsung Galaxy J2 Prime,8990 Tk
Samsung Galaxy A5,24900 Tk
Samsung Galaxy Note 3,63000 Tk
Samsung Galaxy Tab 3V,12490 Tk
Samsung Metro 312,2390 Tk
Samsung Metro 360,3990 Tk
Samsung Galaxy Note 3 Neo,40000 Tk
Samsung Galaxy Alpha,38500 Tk
Samsung Galaxy E5,24900 Tk
Samsung Galaxy J7 Nxt (16GB),14990 Tk
Samsung Galaxy J4,9990 Tk
Samsung Galaxy J2 Core,7490 Tk
Samsung Galaxy J6+,14990 Tk
Samsung Galaxy A30,22990 Tk
Samsung Galaxy S20+,99999 Tk
Samsung Galaxy Z Flip,149999 Tk
Samsung Galaxy J5 (2016),18900 Tk
Samsung Galaxy J7 (2016),10990 Tk
 Samsung Galaxy A7 (2016),32900 Tk
Samsung Galaxy J1,8990 Tk
 Samsung Galaxy A8,44900 Tk
Samsung Galaxy Note5,64900 Tk
Samsung Galaxy S Duos 2,12500 Tk
Samsung Galaxy Core I8262,18500 Tk
Samsung Galaxy E7,29900 Tk
Samsung Galaxy A7,29900 Tk
Samsung B110,2150 Tk
Samsung B310,3200 Tk
Samsung Galaxy Mini S5570,15900 Tk
Samsung Galaxy Pocket Neo S5310,10500 Tk
Samsung Galaxy K zoom,47000 Tk
 Samsung Galaxy A7 (2017),39900 Tk
Samsung Galaxy On7 Pro,8990 Tk
Samsung Galaxy J2 (2018),9990 Tk
Samsung Galaxy A6+ (2018),26900 Tk
Samsung Galaxy A7 (2018),24990 Tk
Samsung Galaxy J4+,10990 Tk
Samsung Galaxy A9 (2018),39990 Tk
Samsung Galaxy A30s 4GB/128GB,21999 Tk
Samsung Galaxy M30s 4GB/64GB,20500 Tk
Samsung Galaxy C9 Pro,41900 Tk
Samsung Galaxy J2 (2016),12990 Tk
 Samsung Galaxy J3 (2016),13990 Tk
Samsung Galaxy A5 (2016),15000 Tk
Samsung Galaxy Note 7,79900 Tk
Samsung Galaxy J1 (2016),8990 Tk
Samsung Galaxy J1 nxt prime,7490 Tk
Samsung Galaxy A3,25900 Tk
Samsung I9190 Galaxy S4 mini,37000 Tk
Samsung Galaxy Grand 2,26500 Tk
 Samsung Galaxy J1 Nxt,6990 Tk
Samsung Galaxy Tab 4 7.0,16500 Tk
Samsung Galaxy S III ,33000 Tk
Samsung Guru E1205,1500 Tk
Samsung GALAXY Tab 3,27000 Tk
Samsung Galaxy Ace NXT,6990 Tk
Samsung I9100 Galaxy S II,47500 Tk
Samsung Rex 70,7300 Tk
Samsung Galaxy S4 zoom,41280 Tk
Samsung Z1,5900 Tk
Samsung Galaxy Ace S5830,14880 Tk
 Samsung Galaxy Note,55500 Tk
Samsung Galaxy pocket,10490 Tk
Samsung Galaxy Grand DUOS,27900 Tk
Samsung Galaxy Note 8.0 N5100,45000 Tk
Samsung Galaxy Star Pro,6500 Tk
Samsung Galaxy Tab E 9.6,20990 Tk
Samsung B220,3150 Tk
Samsung E1310,2850 Tk
Samsung E1085T,2425 Tk
Samsung E1160,2350 Tk
Samsung E2550 Monte Slider,5690 Tk
Samsung Ch@t 222,5790 Tk
Samsung Galaxy S Duos,12630 Tk
Samsung E1200 Pusha,1450 Tk
Samsung Star 3 DUOS S5222,8900 Tk
Samsung Rex 60,6900 Tk
Samsung Galaxy Trend,8500 Tk
Samsung Galaxy S Duos 3,9900 Tk
 Samsung Keystone 3,1590 Tk
Samsung B100,2400 Tk
Samsung B130,1650 Tk
Samsung C170,2900 Tk
Samsung B200,2850 Tk
Samsung C260,2700 Tk
Samsung C450,3450 Tk
Samsung C3010,4990 Tk
Samsung C3053,6000 Tk
Samsung E1070,1999 Tk
Samsung E1100,1700 Tk
Samsung E1125,2599 Tk
Samsung E1210,3050 Tk
Samsung E250,5200 Tk
Samsung E1110,1875 Tk
Samsung E2510,4475 Tk
Samsung D780,13000 Tk
Samsung D880 Duos,15000 Tk
Samsung L700,10500 Tk
Samsung F480,23000 Tk
Samsung M150,3650 Tk
Samsung M620,5450 Tk
Samsung M200,5150 Tk
Samsung M3510,6450 Tk
Samsung X160,2875 Tk
